iter	Passed	Remaining
575	16969	12491
576	16996	12460
577	17024	12429
578	17052	12399
579	17079	12367
580	17107	12337
581	17135	12306
582	17163	12276
583	17189	12244
584	17215	12212
585	17241	12180
586	17268	12149
587	17295	12118
588	17325	12089
589	17354	12059
590	17381	12029
591	17408	11997
592	17435	11966
593	17463	11936
594	17490	11905
595	17518	11874
596	17547	11845
597	17579	11817
598	17607	11787
599	17635	11756
600	17662	11725
601	17688	11694
602	17715	11663
603	17743	11633
604	17775	11605
605	17802	11574
606	17829	11543
607	17858	11514
608	17891	11487
609	17926	11460
610	17956	11431
611	17985	11402
612	18020	11376
613	18049	11346
614	18080	11318
615	18110	11289
616	18138	11259
617	18166	11229
618	18194	11198
619	18221	11168
620	18248	11137
621	18276	11107
622	18303	11075
623	18329	11044
624	18356	11014
625	18384	10983
626	18412	10953
627	18439	10922
628	18466	10891
629	18493	10861
630	18520	10830
631	18549	10801
632	18576	10769
633	18604	10740
634	18633	10710
635	18661	10680
636	18689	10650
637	18719	10621
638	18747	10591
639	18777	10562
640	18807	10533
641	18834	10502
642	18860	10471
643	18888	10441
644	18918	10412
645	18951	10385
646	18981	10356
647	19014	10328
648	19050	10303
649	19084	10276
650	19116	10248
651	19148	10220
652	19177	10191
653	19206	10161
654	19232	10130
655	19259	10099
656	19288	10069
657	19313	10038
658	19343	10009
659	19372	9979
660	19401	9950
661	19429	9920
662	19458	9890
663	19491	9863
664	19525	9836
665	19558	9808
666	19592	9781
667	19623	9753
668	19657	9725
669	19688	9697
670	19721	9669
671	19755	9642
672	19787	9614
673	19821	9587
674	19851	9558
675	19880	9528
676	19914	9501
677	19945	9472
678	19981	9446
679	20014	9418
680	20042	9388
681	20073	9359
682	20101	9329
683	20130	9300
684	20158	9270
685	20185	9239
686	20215	9210
687	20242	9179
688	20270	9149
689	20297	9119
690	20323	9088
691	20352	9058
692	20380	9028
693	20406	8997
694	20433	8967
695	20461	8937
696	20489	8907
697	20519	8877
698	20546	8847
699	20574	8817
700	20601	8787
701	20629	8757
702	20656	8726
703	20683	8696
704	20711	8666
705	20737	8635
706	20766	8606
707	20793	8575
708	20822	8546
709	20848	8515
710	20878	8486
711	20907	8457
712	20936	8427
713	20966	8398
714	20993	8368
715	21021	8338
716	21050	8308
717	21081	8279
718	21108	8249
719	21137	8220
720	21166	8190
721	21194	8160
722	21223	8131
723	21251	8101
724	21279	8071
725	21306	8041
726	21334	8011
727	21363	7981
728	21390	7951
729	21417	7921
730	21445	7891
731	21473	7861
732	21501	7832
733	21528	7801
734	21556	7771
735	21583	7741
736	21610	7711
737	21638	7682
738	21667	7652
739	21696	7622
740	21725	7593
741	21751	7563
742	21778	7533
743	21807	7503
744	21835	7473
745	21862	7443
746	21892	7414
747	21920	7385
748	21947	7354
749	21974	7324
750	22001	7294
751	22029	7264
752	22057	7235
753	22085	7205
754	22114	7176
755	22143	7146
756	22171	7117
757	22201	7088
758	22229	7058
759	22258	7028
760	22285	6998
761	22313	6969
762	22340	6939
763	22368	6909
764	22396	6879
765	22422	6849
766	22448	6819
767	22477	6789
768	22504	6760
769	22531	6730
770	22557	6699
771	22583	6669
772	22611	6640
773	22638	6610
774	22668	6581
775	22694	6550
776	22722	6521
777	22750	6491
778	22776	6461
779	22803	6431
780	22830	6401
781	22857	6371
782	22883	6341
783	22911	6312
784	22939	6282
785	22965	6252
786	22992	6222
787	23019	6193
788	23046	6163
789	23072	6133
790	23099	6103
791	23128	6074
792	23155	6044
793	23184	6015
794	23212	5985
795	23239	5955
796	23265	5925
797	23293	5896
798	23320	5866
799	23346	5836
800	23376	5807
801	23409	5779
802	23439	5750
803	23467	5720
804	23495	5691
805	23522	5661
806	23550	5632
807	23578	5602
808	23606	5573
809	23632	5543
810	23658	5513
811	23686	5483
812	23712	5454
813	23739	5424
814	23766	5394
815	23795	5365
816	23822	5335
817	23850	5306
818	23879	5277
819	23906	5247
820	23934	5218
821	23963	5189
822	23991	5159
823	24018	5130
824	24045	5100
825	24074	5071
826	24103	5042
827	24130	5012
828	24158	4983
829	24185	4953
830	24213	4924
831	24242	4895
832	24270	4865
833	24297	4836
834	24324	4806
835	24352	4777
836	24379	4747
837	24407	4718
838	24435	4689
839	24461	4659
840	24489	4629
841	24516	4600
842	24543	4570
843	24570	4541
844	24597	4512
845	24625	4482
846	24652	4453
847	24678	4423
848	24703	4393
849	24732	4364
850	24760	4335
851	24788	4305
